Author,Year,Article,Code,Repro?,Archi,Layers,Task,Dataset,Note,
Pons,2017,https://arxiv.org/pdf/1703.06697.pdf,https://github.com/jordipons/EUSIPCO2017,,CNN,,,,https://github.com/ronggong/EUSIPCO2017,https://github.com/Veleslavia/EUSIPCO2017
Vrysis,2017,http://www.aes.org/e-lib/browse.cfm?elib=18682,Non,Non,ANN,,,,,
Liu,2016,http://mac.citi.sinica.edu.tw/~yang/pub/liu16mm.pdf,https://github.com/ciaua/clip2frame,,CNN,,,,,
Arumugam,2016,http://file.scirp.org/pdf/CS_2016042615054817.pdf,Non,Non,PNN,,,,,
Choi,2016,https://arxiv.org/pdf/1606.02096.pdf,Non,Non,RNN,,Playlist generation,,,
Choi,2017,http://ieeexplore.ieee.org/abstract/document/7952585/,https://github.com/keunwoochoi/icassp_2017,Models & split sets only,CRNN (CNN+RNN),,"50tags (genre, instru, mood,...)",MSD,Compare CRNN against CNN,
Pons,2017,http://ieeexplore.ieee.org/document/7952601/,https://github.com/jordipons/ICASSP2017,,CNN,,Genre,Ballroom,,
Choi,2016,https://arxiv.org/pdf/1606.00298.pdf,Non,Non,FCN,,"genre, instru, mood, other,...","MSD, MTT",,
Han,2017,http://dl.acm.org/citation.cfm?id=3068697,Non,Non,CNN,,instru,IRMAS,,
Dieleman,2014,http://ieeexplore.ieee.org/abstract/document/6854950/,Non,Non,CNN,,"50tags (genre, instru, mood,...)",MTT,compare input = raw audio & spectrogram,
Lee,2009,Lien,Non,Non,CDBN,,Speaker gender recognition,TIMIT,,
Phan,2016,https://arxiv.org/pdf/1604.06338.pdf,Non,Non,CNN,,audio event recognition,RWC,compare MFCC & deep learning,
Stasiak,2016,Lien,Non,Non,NNMODFF,,Onset Detection,Daudet2004,not input spectro but onset activation,
Schlüter,2014,Lien,Non,Non,CNN,,Onset Detection,internal,,
Takahashi,2016,https://arxiv.org/pdf/1604.07160.pdf,Non,Non,CNN,9,Acoustic Event Detection,FreeSound,Data augmentation = mixing,
Costa,2017,http://www.inf.ufpr.br/lesoliveira/download/ASOC2017.pdf,Non,Non,CNN,,,"LMD, ISMIR, African",Compare CNN vs handcarfted feat + SVM & combinaison,
Feng,2014,https://courses.engr.illinois.edu/ece544na/fa2014/Tao_Feng.pdf,Non,Non,,5,genre,GTzan,technical report,
Xu,2016,https://arxiv.org/pdf/1607.03681.pdf,,,,,,,,
Lee,2017,https://arxiv.org/pdf/1706.06810.pdf,,,,,,,,
Senac,2017,,Non,Non,CNN,8,genre,GTzan,Compare input CNN spectro & features audio,
,,https://arxiv.org/pdf/1706.02921.pdf,,,,,,,,
,,http://ieeexplore.ieee.org/abstract/document/7952660/,,,,,,,,
,,https://arxiv.org/ftp/arxiv/papers/1504/1504.04658.pdf,,,,,,,,
,,,https://github.com/drscotthawley/audio-classifier-keras-cnn,,,,,,,
,,https://pdfs.semanticscholar.org/8a24/c5131d5a28165f719697028c34b00e6d3f60.pdf,,,LSTM-RNN,,emotion recognition,,,
Durand,2016,http://ieeexplore.ieee.org/abstract/document/7728057/,,,CNN,,Downbeat detection,,Combine multiple CNN on multiple features,
Ycart,2017,https://qmro.qmul.ac.uk/xmlui/handle/123456789/24946,http://www.eecs.qmul.ac.uk/~ay304/code/ismir17,TODO,LSTM-RNN,1,polyphonic music sequence modelling,Synthetic MIDI & Piano-midi.de,data augmentation = pitch shift,
Park,2015,https://arxiv.org/ftp/arxiv/papers/1512/1512.07370.pdf,,,,,,,,
McFee,,https://bmcfee.github.io/papers/ismir2015_augmentation.pdf,,,,4,Instrument detection,MedleyDB,precise description architecture,
Lostanlen,2016,https://github.com/lostanlen/ismir2016/blob/master/paper/lostanlen_ismir2016.pdf,,,,,,,,
